City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,male,4.1748,73.5089,26.97,74,40,4.12,MV,1738779784
83,smithers,54.7804,-127.1743,-22.82,84,0,2.06,CA,1738779849
84,port mathurin,-19.6833,63.4167,27.29,77,10,3.28,MU,1738779850
85,craig,40.5153,-107.5464,8.97,43,100,10.29,US,1738779672
86,mount isa,-20.7333,139.5,26.87,83,100,2.57,AU,1738779852
87,constantia,44.1833,28.65,-2.39,59,78,6.62,RO,1738779853
88,fortuna,40.5982,-124.1573,7.18,89,100,5.66,US,1738779857
89,hawaiian paradise park,19.5933,-154.9731,21.05,94,84,1.02,US,1738779858
90,kamaishi,39.2667,141.8833,-4.04,74,63,7.87,JP,1738779859
91,port lincoln,-34.7333,135.8667,16.95,79,0,4.93,AU,1738779860
92,sosnovo-ozerskoye,52.5249,111.5418,-25.84,80,100,3.14,RU,1738779861
93,ola,59.5833,151.2833,-25.11,82,12,3.49,RU,1738779862
94,college,64.8569,-147.8028,-11.03,76,100,0.0,US,1738779863
95,tanumah,27.1,44.1333,20.98,37,90,5.18,SA,1738779864
96,fort st. john,56.2499,-120.8529,-29.06,69,75,2.06,CA,1738779866
97,ribeira grande,38.5167,-28.7,19.22,82,75,4.63,PT,1738779867
98,wad rawah,15.1603,33.1397,29.36,25,0,4.81,SD,1738779868
99,manggar,-2.8833,108.2667,26.47,82,93,5.56,ID,1738779869
100,namibe,-15.1961,12.1522,23.39,86,100,3.6,AO,1738779870
101,bull savanna,17.8868,-77.5902,26.65,58,54,4.02,JM,1738779871
102,cukai,4.25,103.4167,23.41,86,98,2.62,MY,1738779872
103,aleg,17.0481,-13.9209,29.81,7,73,5.6,MR,1738779873
104,saint-pierre,-21.3393,55.4781,26.82,94,20,2.57,RE,1738779875
105,west island,-12.1568,96.8225,27.99,89,20,5.14,CC,1738779876
106,houghton,47.1219,-88.569,-6.25,63,0,0.45,US,1738779738
107,ta'if,21.2703,40.4158,18.56,72,92,3.19,SA,1738779878
108,palikir - national government center,6.9248,158.1611,23.41,94,100,1.54,FM,1738779879
109,polyarnyy,69.1989,33.4478,-7.1,82,100,11.76,RU,1738779880
110,sola,-13.8833,167.55,27.24,76,93,3.09,VU,1738779881
111,labrador city,52.9463,-66.9114,-22.05,59,75,5.14,CA,1738779882
112,kununurra,-15.7667,128.7333,26.99,74,99,3.6,AU,1738779883
113,tura,25.5198,90.2201,16.94,60,3,1.72,IN,1738779784
114,cabo san lucas,22.8909,-109.9124,25.28,33,0,0.89,MX,1738779886
115,pechora,65.1472,57.2244,-11.16,96,100,2.56,RU,1738779887
116,sanctuary point,-35.1114,150.629,19.63,92,90,2.29,AU,1738779888
117,waingapu,-9.6567,120.2641,26.18,84,100,3.23,ID,1738779889
118,itaituba,-4.2761,-55.9836,31.09,66,20,0.0,BR,1738779890
119,santa fe do sul,-20.2111,-50.9258,22.89,83,100,3.03,BR,1738779891
120,poykovskiy,61.2333,73.3333,-7.84,100,100,2.0,RU,1738779680
121,at taraf,25.3628,49.725,17.3,14,86,5.01,SA,1738779853
122,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.39,PT,1738779895
123,bathsheba,13.2167,-59.5167,30.34,66,40,7.72,BB,1738779896
124,maragogi,-9.0122,-35.2225,26.41,81,99,4.57,BR,1738779897
